ID,ADMINIST,CODIGO_PEAJE,DEPARTAMENTO,NOMBRE_PEAJE,VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO
0,Concesionado,22PE5NACS1,San Martin,Aguas Claras,2099,8070,0,2586,2374,720,315,3512,8,10169,328,9515,306.9,19684,635,2014,1,201401
1,Concesionado,04PE1SCAM1,Arequipa,Camana,0,24644,0,6502,4622,1654,3028,8711,213,24644,795,24730,797.7,49374,1592.7,2014,1,201401
2,Concesionado,21PE3SCRO1,Puno,Caracoto,33643,82139,5797,17981,5307,1150,1737,5342,12,115782,3734.9,37326,1204.1,153108,4939,2014,1,201401
3,Concesionado,12PE3NCRA1,Junin,Casaracra-Concesion,10,46944,0,16981,18585,4463,3058,19400,135,46954,1514.6,62622,2020.1,109576,3534.7,2014,1,201401
4,Concesionado,08PE3SCSC1,Cusco,Ccasacancha (Huillque),0,23831,0,4709,3941,447,769,3945,95,23831,768.7,13906,448.6,37737,1217.3,2014,1,201401
5,Concesionado,13PE1NCMA1,La Libertad,Chicama,298,55877,9834,14375,14727,3437,3638,18623,155,56175,1812.1,64789,2090,120964,3902.1,2014,1,201401
6,Concesionado,15PE1SCLA1,Lima,Chilca,0,252757,0,29157,19799,3766,6563,24456,433,252757,8153.5,84174,2715.3,336931,10868.7,2014,1,201401
7,Concesionado,20PE1NJCLS1,Piura,Chulucanas,1958,33423,301,10492,4906,185,530,4364,179,35381,1141.3,20957,676,56338,1817.4,2014,1,201401
8,Concesionado,13PE08CDS1,La Libertad,Ciudad de Dios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,201401
9,Concesionado,15PE22CCA1,Lima,Corcona-Concesion,5045,80704,829,25184,27487,6485,4326,29582,540,85749,2766.1,94433,3046.2,180182,5812.3,2014,1,201401
10,Concesionado,20PE1NCBA1,Piura,Cruce Bayovar,0,10653,0,3163,7306,2236,1581,8803,56,10653,343.6,23145,746.6,33798,1090.3,2014,1,201401
11,Concesionado,14PE04BOLS1,Lambayeque,Desvio Olmos,868,11303,0,6208,5851,2024,711,4838,36,12171,392.6,19668,634.5,31839,1027.1,2014,1,201401
12,Concesionado,04PE1SEFS1,Arequipa,El Fiscal,0,8648,0,1195,2479,418,1555,3409,43,8648,279,9099,293.5,17747,572.5,2014,1,201401
13,Concesionado,15PE1NEPS1,Lima,El Paraiso,0,101514,0,42285,34909,11649,9358,49996,382,101514,3274.6,148579,4792.9,250093,8067.5,2014,1,201401
14,Concesionado,15PE1NFZA1,Lima,Fortaleza,0,21455,0,6386,13935,4566,3487,18528,148,21455,692.1,47050,1517.7,68505,2209.8,2014,1,201401
15,Concesionado,02PE1NHUY1,ancash,Huarmey,0,45480,0,12729,27005,8872,6476,35942,315,45480,1467.1,91339,2946.4,136819,4413.5,2014,1,201401
16,Concesionado,11PE1SICA1,Ica,Ica,0,48163,0,14722,14381,2726,4900,17027,304,48163,1553.6,54060,1743.9,102223,3297.5,2014,1,201401
